Phase, Code, Name, Description
CLIENT IN,CLT-01,Technical Assets Provision,"Client uploads floor plans, 3D files, and site-specific utility maps."
CLIENT IN,CLT-02,Brand & Artwork Delivery,Client provides high-res logos and print-ready digital files for production.
DESIGN/ENG,DSN-01,3D Modeling & Rendering,Aesthetic visualization and spatial design for client approval.
DESIGN/ENG,ENG-01,Production Drafting,"Creation of CAM/CNC files, cutting lists, and technical construction drawings."
DESIGN/ENG,ENG-02,3D Print Slicing & Prep,"Conversion of 3D models into G-code, including support structure design and material selection."
CLIENT APP.,CLT-03,Design & Technical Sign-off,"Client formal approval of renders, materials, and final dimensions."
FABRICATION,FAB-01,CNC & Milling,"Subtractive manufacturing for wood, plastics, or aluminum components."
FABRICATION,FAB-02,3D Printing (Additive),"Layer-by-layer production of custom connectors, props, or complex geometric parts."
FABRICATION,FAB-03,Cutting & Sizing,"Manual or semi-automatic cutting of raw materials (profiles, panels, fabrics)."
FABRICATION,FAB-04,Assembly & Joinery,"Structural bonding, welding, or carpentry assembly of custom-built elements."
FABRICATION,FAB-05,Surface Finishing,"Painting, coating, or laminating of raw fabricated or 3D-printed parts."
FABRICATION,FAB-06,Digital Printing,"Large-format printing on vinyl, textile, or rigid substrates."
WAREHOUSE,WH-PICK,Picking & Kitting,Retrieval of standard stock items to be merged with custom FAB parts.
WAREHOUSE,WH-PRE,Pre-Assembly,"Integration of FAB/3D parts and Stock items for a ""dry run"" or modular build."
WAREHOUSE,WH-QC-OUT,Quality Control Outbound,Tolerance check on fabricated parts and functional test of electronics.
WAREHOUSE,WH-PACK,Packing & Crating,Custom crating for fragile FAB/3D elements and standard packing for stock.
LOGISTICS,LOG-OUT,Load-Out & Dispatch,Physical loading of vehicles and transport document verification.
LOGISTICS,LOG-TRANS,Transit & Freight,"Managing transport, customs, and site access scheduling (slots)."
ON-SITE,SITE-UNL,Unloading & Staging,On-site reception and strategic distribution of crates.
ON-SITE,SITE-INST,Main Installation,On-site assembly of fabricated modules and standard structures.
ON-SITE,SITE-FIN,Fine Tuning & Styling,"Final aesthetic touch-ups, graphic application, and cleaning."
ON-SITE,SITE-HO,Handover & Sign-off,Client walkthrough and formal acceptance of the installation.
STRIKE,SITE-DISM,Dismantling,Deconstruction and breakdown of the setup.
STRIKE,SITE-SORT,Material Categorization,Sorting custom FAB/3D (often scrap) vs. standard Stock (reusable).
RECOVERY,LOG-IN,Return Logistics,Loading and transport back to the production hub.
RECOVERY,WH-QC-IN,Inbound Inspection,Damage assessment and inventory reconciliation.
RECOVERY,WH-RECOV,Restoration & Maintenance,Repairing stock items; recycling or disposing of custom FAB parts.
RECOVERY,WH-STK,Re-Stocking,Final inventory update and physical shelving of materials.
CLOSING,ADM-REV,Post-Project Review,"Analysis of ""Planned vs. Actual"" performance and ROI."